grid_count,grid_spacing_atr,description,return_pct,total_pnl,total_trades,win_rate,profit_factor,max_drawdown_pct,sharpe_ratio
15,0.5,超多网格+中间距,-0.5363212941167714,-53.63212941167714,135,30.37037037037037,0.26434266414012725,-0.8338757501669772,-3.1660225447806023
10,0.8,多网格+宽间距 (保守),-0.7876313113751566,-78.76313113751567,133,30.075187969924812,0.2759073520126294,-1.2280426570168825,-3.1229236180073463
10,0.5,多网格+中间距,-0.7878924895751576,-78.78924895751575,133,29.32330827067669,0.2795128639206277,-1.2283905807482,-3.111828015489574
10,0.3,多网格+窄间距 (密集),-0.7969528669751563,-79.69528669751563,134,26.865671641791046,0.27578062752237176,-1.2284202586576976,-3.158514384721197
7,0.8,中网格+宽间距,-1.0906563129795896,-109.06563129795896,131,29.00763358778626,0.29282374462839583,-1.6940374746392362,-3.014925138327345
7,0.3,中网格+窄间距 (快速),-1.10034227392164,-110.034227392164,132,28.030303030303028,0.29027653400975,-1.6917685737796493,-3.0396260084866555
7,0.5,中网格+中间距 (默认),-1.10196027562164,-110.196027562164,132,28.78787878787879,0.28678297918854156,-1.7100713723078413,-3.011851304588398
5,0.8,少网格+宽间距,-1.5774238042064126,-157.74238042064127,130,28.46153846153846,0.29353359976876137,-2.455212844289564,-3.102496294503421
5,0.3,少网格+窄间距,-1.5774482878064162,-157.74482878064163,130,27.692307692307693,0.2964098037139041,-2.4549984072599473,-3.09679867942003
5,0.5,少网格+中间距,-1.5940596598064145,-159.40596598064144,131,29.00763358778626,0.28608305097574843,-2.4773567416248437,-3.136339419316967
